PlantID|SpeciesName|HeightMinCm|HeightMaxCm|ElevationMinMeters|ElevationMaxMeters|SoilMoisture|Substrates|Terrain|PlantAssociations|HabitatNotes|BloomMonths|BloomColors|NectarGuides|PlantNotes|StateCodes|CountyCodes
PL0253|Penstemon patens|20|40|1900|2200|unspecified|unspecified|shrublands, woodlands|sagebrush, piñon-juniper, Ponderosa pine||5, 6|lavender, magenta, violet|red, magenta||CA, NV|
PL0254|Penstemon patricus|17|25|2500|3200|unspecified|rock crevices|rocky hillsides, cliffs|piñon-juniper, spruce, mountain mahogany||7|blue, pinkish blue, lavender|NA||NV, UT|32033, 49023, 49045, 49027
PL0255|Penstemon payettensis|30|70|1800|2500|xeric|gravelly soils|hills, woodlands|sagebrush, conifers||5, 6, 7, 8|blue, violet|||ID, MT, OR|
PL0256|Penstemon paysoniorum|8|18|2000|2300|xeric|calcareous gravel soils, shale soils, sandstone gravel soils, rock crevices|rock outcrops, shrublands|sagebrush||5, 6, 7|blue, lavender, violet|none||WY|56013, 56023, 56025, 56035, 56037, 56041
PL0257|Penstemon peckii|25|50|900|1500|xeric|volcanic sand soils|woodlands|pine|Eastern side Cascade Range, Arid Transition Zone|6, 7, 8|pink, pale blue, pale violet, violet|pink, violet||OR|
PL0258|Penstemon penlandii|10|25|2300|2500|unspecified|selenium clay soils|shrublands|sagebrush|Troublesome Formation, Middle Park, Grand County|6, 7|blue, violet|magenta||CO|
PL0259|Penstemon pennellianus|20|50|1300|1800|unspecified|gravelly soils|rocky ridges, rocky hillsides, woodlands|conifers|Blue Mtns, Arid Transition Zone, Canadian Zone|5, 6|blue, violet|magenta||OR, WA|
PL0260|Penstemon perpulcher|30|60|650|2000|unspecified|unspecified|shrublands, foothills|sagebrush||5, 6, 7|blue, violet|||ID, OR|
PL0261|Penstemon personatus|30|55|1100|2100|xeric|unspecified|hills|sugar pine, yellow pine, California red fir, mixed evergreens|Arid Transition Zone|7, 8|white, lavender, violet|violet||CA|
PL0262|Penstemon petiolatus|5|15|1000|1700|unspecified|limestone, rock crevices|rock outcrops|shadscale, blackbrush, Buddleja, juniper||5, 6|pink, bright pink, rose pink|magenta||AZ, NV, UT|04015, 32003, 49053
PL0263|Penstemon pinifolius|30|60|1500|2000|xeric|gravelly soils|rocky hillsides, cliffs|none||6, 7|red|||AZ, NM|
PL0264|Penstemon pinorum|7|21|1700|2100|unspecified|unspecified|protected sites along washes|Pinus monophylla, juniper|1444416 Pine Valley Mountains|5, 6|pink, pale violet, blue, violet|violet||UT|49021, 49053
PL0265|Penstemon platyphyllus|35|60|1300|2400|unspecified|gravelly soils|canyons, talus slopes, foothills|none||6, 7, 8|lavender, pale violet, violet|lavender||UT|49011, 49013, 49035, 49049, 49057
PL0266|Penstemon pratensis|15|40|1500|2750|hydric, mesic|unspecified|meadows, stream banks, woodlands|sagebrush, aspen|Upper Sonoran Zone, Canadian Zone|6, 7|white|||ID, NV, OR|
PL0267|Penstemon procerus aberrans|10|35|2200|3400|xeric, mesic|unspecified|shrublands, montane meadows, woodlands|sagebrush, aspen, pine, spruce-fir|1451137 Aquarius Plateau, 1446768 Tushar Mountains, 1451158 Wasatch Plateau|5, 6, 7, 8|blue, violet|magenta||UT|49001, 49031, 49041, 49051, 49017, 49055
PL0268|Penstemon procerus brachyanthus|15|30|1200|2400|unspecified|gravelly soils|montane meadows, woodlands|grass, pine||5, 6, 7, 8|blue, violet|magenta||CA, OR|
PL0269|Penstemon procerus formosus|5|12|2200|3600|mesic|unspecified|alpine talus slopes, alpine meadows|none||6, 7, 8|blue, violet|magenta||CA, ID, NV, OR|
PL0270|Penstemon procerus modestus|10|30|2700|3200|xeric, mesic|gravelly soils|alpine hillsides|none|Elko County|5, 6, 7, 8|blue, violet|magenta||NV|
PL0271|Penstemon procerus procerus|20|35|600|3700|xeric, mesic|unspecified|shrublands, grassy hillsides, alpine meadows, subalpine meadows, woodlands|aspen|Transition Zone, Canadian Zone|6, 7, 8, 9|blue, violet|magenta||AK, CO, ID, MT, ND, OR, UT, WA, WY|
PL0272|Penstemon procerus tolmiei|5|15|1200|2300|xeric|gravelly soils|exposed mid to high elevation hillsides|unspecified|Hudsonian Zone, Arctic-Alpine Zone|5, 6, 7, 8|brilliant blue-violet|||WA|
PL0273|Penstemon pruinosus|10|30|300|2000|unspecified|gravelly soils, sandy soils|rocky hillsides, grassy hillsides, shrublands, woodlands|sagebrush, pine, pine-fir|Arid Transition Zone, Canadian Zone|4, 5, 6, 7|blue, violet|violet||WA|
PL0274|Penstemon pseudoparvus|10|30|2800|2900|unspecified|unspecified|subalpine meadows, woodland clearings, marshland|pine, spruce-fir|Socorro County|6, 7, 8|blue, blue-violet|magenta||NM|
PL0275|Penstemon pseudoputus|15|40|2400|2700|unspecified|unspecified|subalpine meadows, woodland clearings|pine, aspen-spruce|6583 Kaibab Plateau, 13282 Walhalla Plateau, 1451148 Markagunt Plateau|7, 8|lavender, blue, blue-violet, violet|magenta||AZ, UT|04005, 49017, 49025
PL0276|Penstemon pseudospectabilis connatifolius|60|100|600|2300|xeric|gravelly soils, sandy soils|rocky hillsides, washes, woodlands|pine-oak||2, 3, 4, 5, 6, 10, 11|rose pink|magenta||AZ, NM|
PL0277|Penstemon pseudospectabilis pseudospectabilis|60|100|600|1400|xeric|gravelly soils, sandy soils|washes, canyon floors, shrublands, woodlands|creosote, pine-juniper|Lower Sonoran Zone|3, 4|rose pink|magenta||AZ, CA|06065, 06071, 04005, 04015, 04019, 04021
PL0278|Penstemon pudicus|20|50|2300|2750|unspecified|gravelly soils|shrublands, woodlands|sagebrush, juniper, piñon-juniper, mountain mahogany|Kawich Range|6, 7|blue, lavender, violet|||NV|
PL0279|Penstemon pumilus|4|12|1400|2000|unspecified|alluvial gravel soils|shrublands|sagebrush|East central Idaho, arcuate cauline leaves with acute apices, tufted basal leaves|5, 6|blue, violet|magenta||ID|
PL0280|Penstemon purpusii|10|20|1500|2400|xeric|gravelly soils, rock crevices|rock outcrops, talus slopes, montane woodlands|pine, fir|North Coast Range, Transition Zone, Canadian Zone|6, 7, 8|blue, blue-violet|||CA|
PL0281|Penstemon putus|20|45|2500|2600|unspecified|gravelly soils, sandy soils|woodlands|piñon-juniper, pine||6, 7, 8, 9|white, pink, lavender, violet|magenta||AZ|
PL0282|Penstemon radicosus|20|40|1400|2300|xeric|gravelly soils|rocky hillsides, ravines|sagebrush, pine, piñon-juniper, Symphoricarpos, Cerocarpus||5, 6, 7|blue, dark blue, violet|magenta||CO, ID, MT, NV, UT, WY|
PL0283|Penstemon ramosus|30|75|1200|1800|unspecified|gravelly soils|woodlands, desert grasslands|pine, thorn scrub||6, 7|scarlet, red|magenta||AZ, NM, TX|
PL0284|Penstemon rattanii kleei|30|120|400|1000|unspecified|unspecified|coastal woodlands|none|Santa Cruz Mountains|5, 6, 7|lavender, violet|magenta||CA|
PL0285|Penstemon rattanii rattanii|30|120|10|1200|mesic|unspecified|grassy hillsides|fir-spruce, redwood, mixed evergreens|Humid Transition Zone|5, 6, 7|lavender, violet|magenta||CA, OR|
PL0286|Penstemon retrorsus|10|20|1700|1800|xeric|clay soils|adobe hills|sagebrush, saltbush, piñon-juniper|Uncompahgre River Valley|5, 6|blue-violet|magenta||CO|
PL0287|Penstemon rhizomatosus|8|20|3000|3250|unspecified|rock crevices, limestone|rock outcrops, talus slopes|bristlecone pine, limber pine|Schell Creek Range|6, 7, 8, 9|magenta, violet|||NV|
PL0288|Penstemon richardsonii curtiflorus|20|80|350|1000|xeric|rock crevices, basalt|rock outcrops, talus slopes, cliffs|none|Gilliam County, Wasco County, Wheeler County|5, 6, 7, 8|pinkish blue, blue, lavender|magenta||OR|
PL0289|Penstemon richardsonii dentatus|20|80|300|1500|xeric|rock crevices, basalt|rock outcrops, talus slopes, cliffs|none||6, 7, 8, 9, 10|pinkish blue, blue, lavender|magenta||OR, WA|
PL0290|Penstemon richardsonii richardsonii|20|80|300|1500|xeric, mesic|rock crevices, |rock outcrops, talus slopes, cliffs|unspecified|Humid Transition Zone, Arid Transition Zone|6, 7, 8, 9, 10|pinkish blue, blue, lavender|magenta||OR, WA|
PL0291|Penstemon roezlii|20|80|400|2500|unspecified|unspecified|shrublands, woodlands|sagebrush, juniper, pine||5, 6, 7, 8|blue, violet|||CA, NV, OR|
PL0292|Penstemon rostriflorus|30|100|1300|3000|xeric|gravelly soils, sandy soils|rocky hillsides|sagebrush, piñon-juniper, Gambel oak, Ponderosa pine, mountain mahogany||6, 7, 8|scarlet, orange-red|none||AZ, CA, CO, NM, NV, UT|
PL0293|Penstemon rubicundus|50|120|1200|3200|unspecified|gravelly soils|rocky hillsides, canyon floors, shrublands, woodlands|sagebrush, shadscale, piñon-juniper, pine||5, 6, 7, 8, 9|pink, rose pink|red||NV|
PL0294|Penstemon rupicola|3|16|60|2400|xeric|gravelly soils, rock crevices|rocky hillsides, rock ledges, cliffs|none|Transition Zone, Canadian Zone|5, 6, 7, 8|pink, rose pink, violet|||CA, OR, WA|
PL0295|Penstemon rydbergii aggregatus|20|40|1300|3300|xeric, mesic|unspecified|hillsides, stream banks, meadows|sagebrush, aspen||6, 7, 8|blue, violet|none||AZ, CO, ID, MT, UT, WY|
PL0296|Penstemon rydbergii oreocharis|20|50|600|3100|xeric, mesic|unspecified|montane woodlands, subalpine woodlands, stream banks, meadows|none|Arid Transition Zone, Hudsonian Zone|6, 7, 8|pink, violet|||CA, ID, NV, OR, WA|
PL0297|Penstemon rydbergii rydbergii|20|40|1900|3300|xeric, mesic|unspecified|hillsides, stream banks, meadows, ravines|aspen||5, 6, 7, 8|blue, violet|none||AZ, CO, ID, MT, NM, NV, OR, UT, WA, WY|
PL0298|Penstemon saxosorum|10|80|2500|2800|unspecified|unspecified|hillsides, mesas|sagebrush, pine|Montane Zone|7, 8|blue, blue-violet|magenta||CO, WY|
PL0299|Penstemon scapoides|15|45|2000|3200|unspecified|unspecified|unspecified|sagebrush, piñon-juniper, bristlecone pine|Inyo County, Mono County|6, 7, 8|lavender, violet|magenta||CA|
PL0300|Penstemon scariosus albifluvis|15|50|1500|3000|xeric|oil shales|shrublands, woodlands|sagebrush, shadscale, rabbitbrush, piñon-juniper, Ponderosa pine, aspen, spruce, fir||5, 6|pale blue, lavender|magenta||CO, UT|08103, 49047
PL0301|Penstemon scariosus cyanomontanus|15|45|1600|2700|xeric|unspecified|grasslands, woodlands|sagebrush, piñon-juniper|Moffatt County, Uintah County|5, 6, 7|blue, blue-violet|magenta||CO, UT|08081, 49047
PL0302|Penstemon scariosus garrettii|15|50|1700|3000|xeric|unspecified|shrublands, woodlands|sagebrush, oak-maple, aspen, juniper, fir, pine|Wasatch Range, Uinta Mountains, Blue Mountain, West Tavaputs Plateau, East Tavaputs Plateau|5, 6, 7|blue|magenta||CO, UT, WY|08081, 49007, 49009, 49013, 49019, 49047, 49049, 49051, 56037, 56041
PL0303|Penstemon scariosus scariosus|15|50|1600|3200|xeric|unspecified|shrublands, woodlands|sagebrush piñon-juniper, mountain mahogany, pine, aspen, spruce-fir|1451137, Aquarius Plateau, 1451143, Fish Lake Plateau, 1451158, Wasatch Plateau|5, 6, 7|blue, blue-violet|magenta||UT|49007, 49013, 49015, 49019, 49023, 49031, 49039, 49041, 49047, 49055
PL0304|Penstemon secundiflorus secundiflorus|10|40|1500|2900|unspecified|gravelly soils|rocky hillsides, mesas, grasslands|shortgrass prairie|Rocky Mountain Front Range|5, 6, 7|pink, pale blue, lavender, violet|red, magenta||CO, NM, WY|
PL0305|Penstemon secundiflorus versicolor|10|40|1400|1700|unspecified|gravelly soils, sandy soils|grasslands, foothills|shortgrass prairie|Arkansas River drainage|5, 6|dark blue, violet|||CO|
PL0306|Penstemon seorsus|10|40|1000|2100|xeric|gravelly soils|hills, plains|sagebrush, juniper|Arid Transition Zone|5, 6, 7|blue, violet|magenta||ID, OR|
PL0307|Penstemon sepalulus|45|90|1500|2200|unspecified|gravelly soils|talus slopes, canyons|Gambel oak, aspen, maple||6, 7|lavender, violet|violet||UT|49023, 49041, 49049, 49053
PL0308|Penstemon serrulatus|30|70|0|1800|hydric, mesic|gravelly soils, sandy soils|stream banks, roadcuts, hillsides, woodlands|conifers|Humid Transition Zone|6, 7, 8|blue, violet|||AK, OR, WA|
PL0309|Penstemon smallii|40|80|200|1200|mesic|gravelly soils, sandy soils|woodland margins, cliffs, rocky hillsides|none||4, 5, 6|pink, lavender, violet|magenta, violet||AL, GA, NC, SC, TN|
PL0310|Penstemon spatulatus|10|25|2300|2500|xeric|gravelly soils|rocky hillsides, meadows|none|Wallowa Mountains|7, 8|pale blue, pale lavender|violet||OR|
PL0311|Penstemon speciosus|5|40|1200|3300|xeric|gravelly soils, sandy soils|rocky hillsides, shrublands, woodland clearings|bitterbrush, sagebrush, piñon-juniper, pine, mountain mahogany||5, 6, 7|blue|magenta|Highly polymorphic|CA, ID, NV, OR, UT, WA|
PL0312|Penstemon spectabilis spectabilis|5|40|100|1800|unspecified|gravelly soils, sandy soils|hillsides, washes, shrublands, woodlands|chaparral, sagebrush, oak||4, 5, 6, 7|pink, blue, lavender, violet|magenta||CA, NV|
PL0313|Penstemon spectabilis subviscosus|80|120|500|2400|unspecified|gravelly soils, sandy soils|outwash fans|chaparral, sagebrush, oak|Transverse Range|4, 5, 6, 7|pink, blue, lavender, violet|magenta||CA|
PL0314|Penstemon stenophyllus|20|90|1200|1700|unspecified|unspecified|canyons, hillsides, woodland clearings|pine, pine-oak|Cochise County, Santa Cruz County|7, 8, 9|blue, lavender, violet|magenta||AZ|
PL0315|Penstemon stephensii|30|100|1200|1700|xeric|gravelly soils, rock crevices|rocky hillsides, washes, shrublands|creosote, piñon-juniper|Kingston Mtns, Providence Mtns|5, 6|rose pink, pinkish lavender, magenta|||CA|
PL0316|Penstemon strictiformis|20|55|1700|2800|xeric|unspecified|woodlands|juniper, piñon-juniper|Four Corners region|5, 6, 7|blue, lavender|none||AZ, CO, NM, UT|04001, 08083, 35045, 49037
PL0317|Penstemon strictus|35|70|2200|3200|xeric, mesic|gravelly soils|shrublands, woodlands|sagebrush, piñon-juniper, scrub oak, Ponderosa pine, spruce-aspen||5, 6|dark blue, violet|violet||AZ, CO, NM, UT, WY|
PL0318|Penstemon subglaber|25|70|1800|3300|xeric, mesic|unspecified|hillsides, woodlands|sagebrush, aspens fir, Gambel oak||6, 7, 8|blue, blue-violet, violet|violet||ID, UT, WY|
PL0319|Penstemon subserratus|30|80|30|1800|xeric|unspecified|hillsides, woodlands|pine, pine-oak|Transition Zone, Canadian Zone|5, 6, 7|blue, violet|magenta||OR, WA|
PL0320|Penstemon subulatus|20|70|500|1300|unspecified|gravelly soils|rocky hillsides, mesas, canyons|none||2, 3, 4, 5, 6|pink, red|||AZ|
PL0321|Penstemon sudans|30|70|1200|1800|unspecified|volcanic gravel soils, rock crevices|shrublands, woodlands|sagebrush, pine|Arid Transition Zone|6, 7|white, pale pink, pale lavender|magenta||CA, NV|
PL0322|Penstemon superbus|30|140|900|1800|xeric|gravelly soils, sandy soils|rocky hillsides, canyons, woodlands, desert grasslands|piñon-juniper, oak||4, 5, 6|pinkish orange, pink, red|||AZ, NM|
PL0323|Penstemon tenuiflorus|40|80|30|80|unspecified||woodland clearings|cedar|Interior Low Plateaus|5, 6|white, pink|||AL, KY, MS, TN|
PL0324|Penstemon tenuis|40|90|0|200|hydric|sandy soils, loamy soils, clay soils|marsh margins, floodplain forests, marsh margins|prairie, hardwood forest|Gulf Coast prairies and marshes|3, 4, 5, 6|lavender, violet|magenta||AR, LA, MS, TX|
PL0325|Penstemon teucrioides|4|12|2100|3500|xeric|gravelly soils, sandy-loam soils, clay soils|rocky hillsides|sagebrush|Park County, Chaffee County, Gunnison County, Saguache County, Hinsdale County|6, 7|violet|||CO|
PL0326|Penstemon thompsoniae|4|15|1500|3400|unspecified|white calcareous clay soils, sandy soils|shrublands, subalpine hillsides|sagebrush, piñon-juniper, pine||5, 6, 7, 8|blue, violet|magenta||AZ, CA, NV, UT|
PL0327|Penstemon thurberi|30|60|600|1500|xeric|gravelly soils, sandy soils|rocky hillsides, mesas, shrublands, woodlands|chaparral, sagebrush, pine-juniper|Upper Sonoran Zone|4, 5, 6, 7, 8|pink, lavender, violet|magenta||AZ, CA, NM, NV,  TX|
PL0328|Penstemon tiehmii|10|20|2200|2900|unspecified|rock crevices, sandy-loam soils|steep volcanic talus slopes|none|Mount Lewis|6, 7, 8|lavender, violet|||NV|
PL0329|Penstemon tracyi|8|12|2000|2200|unspecified|rock crevices|mountains|none|Devil's Canyon Mountains|7, 8|white, pink|||CA|
PL0330|Penstemon triflorus integrifolius|30|65|400|700|unspecified|calcareous soils, limestone|cliffs, grasslands|prairie|Western Edwards Plateau to Colorado River valley|4, 5|pink, rose pink, rose purple|red, crimson||TX|
PL0331|Penstemon triflorus triflorus|45|65|200|600|unspecified|calcareous soils, limestone|cliffs, grasslands|prairie|Edwards Plateau|3, 4, 5, 6|white, pale pink, pink|||TX|
PL0332|Penstemon triphyllus|30|80|300|1800|unspecified|basalt gravel soils|cliffs, roadcuts|none||5, 6, 7|pinkish lavender, lavender, blue-lavender, pale violet|||ID, OR, WA|
PL0333|Penstemon tubaeflorus achoreus|25|85|20|600|unspecified|unspecified|grasslands, woodlands, roadsides|none||5, 6|white|||CT, MA, ME, NY, PA, RI, VT|
PL0334|Penstemon tubaeflorus tubaeflorus|25|85|20|600|unspecified|loamy soils, sandy-loam soils|grasslands, woodlands, roadsides|tallgrass prairie, deciduous forest||5, 6, 7|white|||AR, CT, IA, IL, IN, KS, KY, LA, MA, ME, MO, MS, NE, NH, OH, OK, TN, TX, VT, WI|
PL0335|Penstemon uintahensis|5|15|3000|3700|unspecified|gravelly soils|ridgetops, subalpine meadows, alpine meadows|none||6, 7, 8|pinkish blue, blue|none||UT|49009, 49013, 49043, 49047
PL0336|Penstemon virgatus asa-grayi|20|90|1400|3000|unspecified|gravelly soils, sandy soils|hillsides, roadsides, woodlands|oak, Ponderosa pine, aspen-spruce|Rocky Mountain Front Range|6, 7, 8, 9|pinkish lavender, blue-lavender, lavender|magenta||CO, NM, WY|
PL0337|Penstemon utahensis|15|50|400|2400|xeric|gravelly soils, sandy soils|canyons, mesas, shrublands, woodlands|sagebrush, piñon-juniper|Colorado River basin|3, 4, 5, 6|pink, red, crimson|red||AZ, CA, CO, NV, UT|
PL0338|Penstemon venustus|30|80|300|2700|mesic|basalt gravel soils|rocky hillsides, rock outcrops, talus slopes, shrublands, woodland clearings|none|Snake River Plateau, Transition Zone, Canadian Zone|6, 7, 8, 9, 10|lavender, violet|magenta||ID, OR, WA|
PL0339|Penstemon versicolor|20|35|1400|1700|unspecified|gravelly soils, loamy soils|mesas, foothills|sagebrush, shortgrass prairie|Upper Arkansas River valley|5, 6|blue, lavender, violet, pink|red, magenta||CO|
PL0340|Penstemon virens|15|45|1600|3000|unspecified|gravelly soils|rocky hillsides, montane meadows, foothills|shortgrass prairie|Rocky Mountain Front Range|5, 6, 7, 8|blue, blue-lavender, violet|magenta, blue-violet||CO, WY|
PL0341|Penstemon virgatus virgatus|20|65|1400|3000|unspecified|gravelly soils, sandy soils|hillsides, roadsides, woodlands, subalpine meadows|oak, pine||6, 7, 8, 9, 10|pinkish lavender, lavender, violet|magenta||AZ, CO, NM|
PL0342|Penstemon wardii|15|30|1500|2000|unspecified|clay soils, loamy soils|woodlands|piñon-juniper|Millard County, Piute County, Sanpete County, Sevier County|5, 6, 7|blue, lavender|lavender||UT|49027, 49031, 49039, 49041
PL0343|Penstemon washingtonensis|12|24|1800|2300|mesic|unspecified|rocky hillsides, alpine meadows, woodland clearings|pine-fir|Canadian Zone|7, 8|white, pale yellow, dark blue|||WA|
PL0344|Penstemon watsonii|25|60|1700|3200|xeric|gravelly soils|rocky hillsides, shrublands, woodlands|sagebrush piñon-juniper, Gambel oak, mountain mahogany, spruce-fir, limber pine||5, 6, 7, 8|violet|magenta||AZ, CO, ID, NV, UT, WY|
PL0345|Penstemon whippleanus|20|60|2100|3700|mesic|unspecified|rocky hillsides, subalpine woodlands, alpine tundra|none||6, 7, 8, 9|white, cream, pale blue, lavender, blue-violet, wine-lavender, brown-violet, black-violet|white, lavender, violet|contrasting nectar guides|AZ, CO, ID, MT, NM, UT, WY|
PL0346|Penstemon wilcoxii|40|100|300|2300|xeric|gravelly soils|rocky hillsides, woodlands, roadcuts|conifers|Arid Transition Zone|5, 6, 7, 8|pale blue, blue, violet|magenta||ID, MT, OR, WA|
PL0347|Penstemon wrightii|40|70|900|1800|xeric|gravelly soils|rocky hillsides, canyons|none|Mountains of the Trans-Pecos|3, 4, 5, 6|pink, red|||TX|
PL0348|Penstemon yampaensis|2|5|1500|2200|xeric|sandstone soils|sandstone ledges, ridgetops, shrublands, woodlands|sagebrush, Utah juniper||5, 6, 7|lavender, blue-lavender|none||CO, UT, WY|08081, 49009, 49047, 56037
